Time,True Height,Error Height,True Pitch,Desire Pitch,True Pitch Rate,Desire Pitch Rate,True Elevator Pos,Desire Elevator Pos,Horizontal Vel,Vertical Vel,Flight Path Vel,Distance to Runway Start
1,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
301,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
601,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
901,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
1202,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
1502,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
1802,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
2102,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
2402,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
2703,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
3003,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
3303,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
3603,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
3904,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
4204,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
4504,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
4804,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
5105,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
5405,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
5705,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
6005,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
6306,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
6606,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
6906,0.000000,0.000000,0.000000,-0.200000,-0.000000,-0.600000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.000000
7206,50.983879,-3.855971,0.056835,0.000000,-0.708870,-0.170504,-0.145070,0.161510,58.564063,7.024987,58.983895,-489.442048
7507,52.200693,-6.097493,0.063197,-0.115679,-0.865005,-0.536627,-0.090814,0.098513,57.545964,7.454240,58.026749,-478.800055
7807,54.420980,-10.424040,0.006335,-0.182925,-0.081550,-0.567766,-0.128539,-0.145865,55.988820,2.979098,56.068021,-456.925699
8107,54.723762,-11.797447,-0.103162,-0.312721,-0.283817,-0.628648,-0.141226,-0.103450,55.248940,-0.958356,55.257251,-445.806835
8407,52.948476,-12.101770,-0.185793,-0.353923,0.268086,-0.504395,-0.117178,-0.231744,53.486567,-8.337667,54.132518,-424.209270
