Time,True Height,Error Height,True Pitch,Desire Pitch,True Pitch Rate,Desire Pitch Rate,True Elevator Pos,Desire Elevator Pos,Horizontal Vel,Vertical Vel,Flight Path Vel,Distance to Runway Start
13510,6.232504,-6.232504,-0.138389,-0.225195,-0.389570,-0.260418,-0.143358,0.038745,44.994506,-4.221745,45.192131,148.078016
13810,5.482190,-5.482190,-0.112906,-0.225195,0.229139,-0.336868,-0.132130,-0.169802,44.596458,-3.508966,44.734292,156.634377
14110,4.154159,-4.154159,-0.114575,-0.225195,-0.148448,-0.331859,-0.121072,-0.055023,43.749833,-3.158098,43.863669,173.373123
14410,3.509631,-3.509631,-0.112449,-0.225195,0.085350,-0.338237,-0.122426,-0.127076,43.300830,-3.178855,43.417358,182.077637
14710,2.709946,-2.709946,0.070458,-0.804127,-0.136194,-2.623756,-0.032038,-0.746269,42.148169,3.020634,42.256270,198.236785
15011,3.419947,-3.419947,-0.071670,-0.225195,-0.299740,-0.460575,-0.188931,-0.048250,41.517483,1.823079,41.557490,206.281830
15311,2.984213,-2.984213,-0.059607,0.248672,1.039751,0.924803,-0.116919,-0.034484,40.689263,-2.243360,40.751058,222.731263
15611,2.875119,-2.875119,-0.037787,-0.501314,-0.815761,-1.569283,-0.056123,-0.226057,40.121106,1.506572,40.149383,230.335663
15911,2.963114,-2.963114,-0.053803,0.274878,1.118913,1.123715,-0.127282,0.001441,39.190814,-2.374388,39.262675,245.734706
16211,2.783576,-2.783576,-0.029193,-0.456448,-0.742180,-1.281712,-0.045947,-0.161860,38.660645,1.282239,38.681903,253.567857
16512,2.994887,-2.994887,-0.086787,0.162165,-0.358142,0.746857,-0.127533,0.331500,37.726355,-1.810824,37.769789,268.812015
16812,2.836130,-2.836130,-0.032942,-0.313825,-0.381262,-0.842650,-0.095850,-0.138417,37.263166,0.569125,37.267512,276.315972
17112,2.745704,-2.745704,-0.029240,-0.239808,0.101799,-0.631703,-0.096495,-0.220051,36.419028,0.199040,36.419572,290.941571
17412,2.735454,-2.735454,-0.050348,-0.067362,0.255196,-0.051041,-0.121574,-0.091871,36.008023,-0.663190,36.014130,298.290212
17712,2.595119,-2.595119,-0.043842,-0.145390,-0.029242,-0.304645,-0.109362,-0.082621,35.216584,-0.273048,35.217643,312.392994
18012,2.523119,-2.523119,-0.045439,-0.114902,0.065845,-0.208389,-0.107411,-0.082270,34.839397,-0.425490,34.841995,319.363181
18313,2.402914,-2.402914,-0.045107,-0.136875,-0.013307,-0.275304,-0.106216,-0.078599,34.118567,-0.315626,34.120027,332.567584
18613,2.332431,-2.332431,-0.044333,-0.125868,0.030282,-0.244607,-0.104412,-0.082467,33.757936,-0.370658,33.759971,339.354937
18913,2.202642,-2.202642,-0.047060,-0.123317,-0.009699,-0.228772,-0.104126,-0.065722,33.053028,-0.383415,33.055252,352.682012
19213,2.132530,-2.132530,-0.045350,-0.141308,-0.028284,-0.287873,-0.101194,-0.077877,32.708969,-0.293462,32.710286,359.258147
19513,1.997279,-1.997279,-0.044472,-0.136110,0.005288,-0.274914,-0.100152,-0.084060,32.044865,-0.319450,32.046458,372.175431
19813,1.930862,-1.930862,-0.045660,-0.127703,0.011338,-0.246129,-0.101050,-0.077240,31.721266,-0.361485,31.723325,378.551671
20114,1.801172,-1.801172,-0.045772,-0.128876,0.001967,-0.249312,-0.099306,-0.075383,31.141586,-0.355621,31.143616,390.117595
20414,1.730833,-1.730833,-0.045774,-0.129262,-0.001471,-0.250464,-0.098276,-0.074698,30.837796,-0.353688,30.839824,396.253323
20714,1.590518,-1.590518,-0.046000,-0.127538,-0.000341,-0.244615,-0.097132,-0.073282,30.250893,-0.362309,30.253063,408.256235
21014,1.522207,-1.522207,-0.046122,-0.127247,-0.001208,-0.243372,-0.096391,-0.072649,29.977569,-0.363767,29.979776,413.917505
21314,1.377692,-1.377692,-0.046247,-0.125580,-0.001194,-0.237998,-0.095047,-0.071041,29.421107,-0.372099,29.423460,425.588409
21615,1.307563,-1.307563,-0.046354,-0.125212,-0.000481,-0.236575,-0.094368,-0.070828,29.161765,-0.373938,29.164162,431.095004
21915,1.160163,-1.160163,-0.046572,-0.123594,-0.001407,-0.231064,-0.093009,-0.068897,28.637549,-0.382032,28.640098,442.365012
22215,1.088813,-1.088813,-0.046677,-0.123041,-0.000074,-0.229090,-0.092281,-0.068705,28.393871,-0.384797,28.396479,447.668754
22515,0.937406,-0.937406,-0.046930,-0.121530,-0.001713,-0.223800,-0.090856,-0.066626,27.895664,-0.392352,27.898423,458.644408
22815,0.859303,-0.859303,-0.047033,-0.120876,-0.000248,-0.221527,-0.090058,-0.066384,27.649214,-0.395621,27.652045,464.143163
23116,0.706730,-0.706730,-0.047301,-0.119097,0.001568,-0.215388,-0.088608,-0.065087,27.185555,-0.404516,27.188564,474.615874
23416,0.626288,-0.626288,-0.047435,-0.118378,-0.001030,-0.212828,-0.087740,-0.063539,26.951272,-0.408111,26.954362,479.975238
23716,0.474572,-0.474572,-0.047588,-0.117401,-0.000684,-0.209637,-0.086332,-0.062552,26.523755,-0.412995,26.526970,489.867492
24016,0.391994,-0.391994,-0.047744,-0.116548,-0.000722,-0.206414,-0.085567,-0.061708,26.299346,-0.417258,26.302656,495.123215
24316,0.227716,-0.227716,-0.047933,-0.115044,-0.000859,-0.201335,-0.083953,-0.060143,25.870495,-0.424779,25.873982,505.295661
24617,0.142796,-0.142796,-0.048140,-0.114263,-0.000730,-0.198369,-0.083156,-0.059292,25.657058,-0.428684,25.660639,510.422488
24917,0.042460,-0.042460,-0.032513,-0.200426,-0.009017,-0.503739,-0.092281,-0.148416,24.763707,0.002128,24.763707,520.187921
25217,0.043360,-0.043360,-0.039701,-0.200223,-0.010309,-0.481567,-0.126768,-0.141377,23.671744,0.001115,23.671744,525.023810
25517,0.044061,-0.044061,-0.042312,-0.201650,0.001561,-0.478012,-0.154874,-0.143872,20.029431,0.008248,20.029433,533.422003
25817,0.044179,-0.044179,-0.043000,-0.200573,0.006470,-0.472718,-0.161952,-0.143756,17.979333,0.002866,17.979333,537.184887
26117,0.044067,-0.044067,-0.042225,-0.199433,0.009444,-0.471625,-0.167315,-0.144321,13.999518,-0.002835,13.999518,543.552229
26417,0.043891,-0.043891,-0.040372,-0.201187,0.013806,-0.482446,-0.168818,-0.148876,12.126752,0.005935,12.126754,546.150023
26718,0.043138,-0.043138,-0.036332,-0.198310,0.026726,-0.485935,-0.173033,-0.153798,8.612353,-0.008449,8.612357,550.277442
27018,0.042319,-0.042319,-0.026893,-0.198001,0.059211,-0.513326,-0.176938,-0.171761,6.931211,-0.009993,6.931218,551.829150
27318,0.037694,-0.037694,-0.003866,-0.199014,-0.013090,-0.585444,-0.202488,-0.171743,3.693833,-0.004930,3.693836,553.935460
27618,0.037694,-0.037694,-0.003865,-0.199330,-0.021542,-0.586396,-0.200759,-0.169456,1.920725,-0.003349,1.920728,554.493035
27918,0.037698,-0.037698,-0.003852,-0.200856,-0.000385,-0.591012,-0.197419,-0.177188,0.000122,0.004279,0.004281,554.683248
28218,0.037694,-0.037694,-0.003850,-0.199046,0.000852,-0.585587,-0.197841,-0.175932,0.000065,-0.004769,0.004770,554.683261
28519,0.037698,-0.037698,-0.003850,-0.201000,-0.001264,-0.591450,-0.198176,-0.177057,0.000048,0.005002,0.005003,554.683287
28819,0.037693,-0.037693,-0.003850,-0.198990,0.001181,-0.585418,-0.198305,-0.175980,0.000093,-0.005052,0.005055,554.683301
29119,0.037698,-0.037698,-0.003850,-0.201007,0.001185,-0.591471,-0.197502,-0.177797,0.000045,0.005036,0.005045,554.683325
29419,0.037698,-0.037698,-0.003850,-0.201006,0.001180,-0.591469,-0.198206,-0.177795,0.000045,0.005031,0.005049,554.683337
29719,0.037696,-0.037696,-0.003850,-0.201006,0.001159,-0.591953,-0.197916,-0.177934,0.000045,0.005031,0.005120,554.683363
30019,0.037688,-0.037688,-0.003849,-0.198988,0.001191,-0.585417,-0.198386,-0.175982,0.000092,-0.005059,0.005270,554.683376
30320,0.037667,-0.037667,-0.003847,-0.200980,0.001188,-0.591397,-0.198384,-0.177776,0.000046,0.004899,0.006069,554.683403
30620,0.037653,-0.037653,-0.003845,-0.201523,0.009356,-0.593034,-0.198258,-0.180717,-0.000227,0.007613,0.007617,554.683418
30920,0.037653,-0.037653,-0.003846,-0.200433,-0.009845,-0.589974,-0.197854,-0.174039,0.000396,0.002164,0.002203,554.683439
31220,0.037645,-0.037645,-0.003845,-0.198403,-0.011061,-0.583674,-0.196666,-0.171784,0.000388,-0.007984,0.007995,554.683449
31520,0.037653,-0.037653,-0.003846,-0.200429,-0.009910,-0.589748,-0.195462,-0.174013,0.000360,0.002143,0.002179,554.683470
31820,0.037645,-0.037645,-0.003851,-0.198364,-0.000001,-0.583538,-0.195281,-0.175061,0.000475,-0.008181,0.008196,554.683481
32120,0.037653,-0.037653,-0.003864,-0.199835,-0.013822,-0.587501,-0.197049,-0.172104,0.000284,-0.000826,0.000905,554.683480
32421,0.037654,-0.037654,-0.003850,-0.200000,0.002243,-0.588451,-0.194278,-0.177208,0.000001,0.000002,0.000006,554.683477
32721,0.037654,-0.037654,-0.003852,-0.199883,-0.000000,-0.588092,-0.197726,-0.177851,-0.000000,0.000002,0.000084,554.683471
33021,0.037655,-0.037655,-0.003852,-0.199999,0.000013,-0.588439,-0.198031,-0.176535,0.000000,-0.000007,0.000115,554.683469
33321,0.037654,-0.037654,-0.003869,-0.201671,-0.029914,-0.588395,-0.198522,-0.167544,-0.000512,0.007735,0.007752,554.683466
33621,0.037655,-0.037655,-0.003852,-0.199999,-0.000192,-0.588440,-0.197233,-0.176474,0.000000,-0.000005,0.000083,554.683464
33921,0.037653,-0.037653,-0.003852,-0.199823,0.000004,-0.587913,-0.198164,-0.176536,0.000285,-0.000820,0.000901,554.683463
34221,0.037653,-0.037653,-0.003825,-0.199789,0.026629,-0.587892,-0.199108,-0.184356,0.000234,-0.001053,0.001080,554.683461
34522,0.037650,-0.037650,-0.003825,-0.199468,0.026629,-0.583441,-0.201541,-0.183021,-0.001053,-0.003093,0.003270,554.683454
34822,0.037654,-0.037654,-0.003852,-0.201478,0.013606,-0.592877,-0.201503,-0.181945,-0.000593,0.007388,0.007412,554.683451
35122,0.037654,-0.037654,-0.003852,-0.200129,-0.000017,-0.588832,-0.200049,-0.175081,0.000000,0.000002,0.000009,554.683447
35422,0.037654,-0.037654,-0.003864,-0.200000,-0.013815,-0.588407,-0.199135,-0.172378,0.000000,-0.000002,0.000034,554.683446
35722,0.037655,-0.037655,-0.003852,-0.199998,0.000007,-0.588437,-0.197948,-0.176533,0.000000,-0.000008,0.000133,554.683442
36022,0.037643,-0.037643,-0.003851,-0.198392,-0.000125,-0.583623,-0.198223,-0.175049,0.000324,-0.008039,0.008046,554.683442
36323,0.037655,-0.037655,-0.003853,-0.199862,0.000001,-0.588029,-0.198409,-0.176409,-0.000000,0.000005,0.000119,554.683436
36623,0.037654,-0.037654,-0.003849,-0.199997,0.014369,-0.588443,-0.198189,-0.180844,-0.000003,-0.000014,0.000019,554.683435
36923,0.037654,-0.037654,-0.003824,-0.199797,0.027929,-0.587918,-0.200292,-0.184754,0.000007,0.000024,0.000109,554.683432
37223,0.037653,-0.037653,-0.003824,-0.199812,0.027929,-0.587963,-0.201282,-0.184768,0.000254,-0.000940,0.000987,554.683430
37523,0.037653,-0.037653,-0.003824,-0.200005,0.027929,-0.588541,-0.202102,-0.184918,0.000254,-0.000940,0.000987,554.683424
37823,0.037654,-0.037654,-0.003852,-0.200188,-0.000000,-0.589009,-0.202474,-0.176701,-0.000076,0.000941,0.000958,554.683422
38123,0.037654,-0.037654,-0.003851,-0.200000,-0.000024,-0.588447,-0.199467,-0.176527,-0.000078,0.000948,0.000955,554.683419
38424,0.037653,-0.037653,-0.003825,-0.199862,0.026629,-0.588111,-0.197445,-0.184422,0.000293,-0.000688,0.000753,554.683416
38724,0.037654,-0.037654,-0.003869,-0.198513,-0.029914,-0.583932,-0.196599,-0.166206,0.000014,0.000054,0.000112,554.683410
39024,0.037653,-0.037653,-0.003869,-0.199812,-0.029914,-0.587829,-0.195490,-0.167374,0.000254,-0.000940,0.000987,554.683409
39324,0.037654,-0.037654,-0.003869,-0.200005,-0.029914,-0.588407,-0.194618,-0.167548,-0.000085,0.001045,0.001053,554.683403
39624,0.037654,-0.037654,-0.003869,-0.200007,-0.029914,-0.588413,-0.194571,-0.167550,0.000011,0.000034,0.000194,554.683399
39924,0.037654,-0.037654,-0.003869,-0.199790,-0.029914,-0.587762,-0.195166,-0.167354,-0.000005,-0.000028,0.000158,554.683394
40225,0.037654,-0.037654,-0.003869,-0.200188,-0.029914,-0.588956,-0.193891,-0.167713,-0.000076,0.000939,0.000959,554.683392
40525,0.037654,-0.037654,-0.003852,-0.199855,-0.000007,-0.588007,-0.195928,-0.176400,-0.000001,-0.000001,0.000092,554.683386
40825,0.037654,-0.037654,-0.003852,-0.199995,-0.000044,-0.588428,-0.196819,-0.176515,-0.000004,-0.000027,0.000189,554.683386
41125,0.037654,-0.037654,-0.003864,-0.199783,-0.013616,-0.587758,-0.196431,-0.172243,-0.000001,-0.000004,0.000017,554.683383
41425,0.037655,-0.037655,-0.003853,-0.200000,0.000003,-0.588442,-0.196988,-0.176533,0.000000,0.000001,0.000016,554.683380
41725,0.037654,-0.037654,-0.003852,-0.200001,0.000005,-0.588449,-0.197826,-0.176536,0.000037,0.000171,0.000214,554.683377
42026,0.037654,-0.037654,-0.003853,-0.200000,0.000006,-0.588442,-0.197861,-0.176534,-0.000000,0.000000,0.000018,554.683376
42326,0.037654,-0.037654,-0.003853,-0.200000,0.000002,-0.588443,-0.197945,-0.176533,0.000000,0.000002,0.000007,554.683375
42626,0.037654,-0.037654,-0.003853,-0.200000,0.000002,-0.588443,-0.197945,-0.176533,0.000000,0.000002,0.000007,554.683375
42926,0.037654,-0.037654,-0.003853,-0.200000,0.000002,-0.588443,-0.197945,-0.176533,0.000000,0.000002,0.000007,554.683375
43226,0.037654,-0.037654,-0.003853,-0.200000,0.000002,-0.588443,-0.197945,-0.176533,0.000000,0.000002,0.000007,554.683375
43527,0.037654,-0.037654,-0.003853,-0.200000,0.000002,-0.588443,-0.197945,-0.176533,0.000000,0.000002,0.000007,554.683375
43827,0.037654,-0.037654,-0.003853,-0.200000,0.000002,-0.588443,-0.197945,-0.176533,0.000000,0.000002,0.000007,554.683375
44127,0.037654,-0.037654,-0.003853,-0.200000,0.000002,-0.588443,-0.197945,-0.176533,0.000000,0.000002,0.000007,554.683375
44427,0.037654,-0.037654,-0.003853,-0.200000,0.000002,-0.588443,-0.197945,-0.176533,0.000000,0.000002,0.000007,554.683375
44728,0.037654,-0.037654,-0.003853,-0.200000,0.000002,-0.588443,-0.197945,-0.176533,0.000000,0.000002,0.000007,554.683375
45028,0.037654,-0.037654,-0.003853,-0.200000,0.000002,-0.588443,-0.197945,-0.176533,0.000000,0.000002,0.000007,554.683375
45328,0.037654,-0.037654,-0.003853,-0.200000,0.000002,-0.588443,-0.197945,-0.176533,0.000000,0.000002,0.000007,554.683375
45628,0.037654,-0.037654,-0.003853,-0.200000,0.000002,-0.588443,-0.197945,-0.176533,0.000000,0.000002,0.000007,554.683375
45929,0.037654,-0.037654,-0.003853,-0.200000,0.000002,-0.588443,-0.197945,-0.176533,0.000000,0.000002,0.000007,554.683375
46229,0.037654,-0.037654,-0.003853,-0.200000,0.000002,-0.588443,-0.197945,-0.176533,0.000000,0.000002,0.000007,554.683375
46529,0.037654,-0.037654,-0.003853,-0.200000,0.000002,-0.588443,-0.197945,-0.176533,0.000000,0.000002,0.000007,554.683375
46829,0.037654,-0.037654,-0.003853,-0.200000,0.000002,-0.588443,-0.197945,-0.176533,0.000000,0.000002,0.000007,554.683375
47130,0.037654,-0.037654,-0.003853,-0.200000,0.000002,-0.588443,-0.197945,-0.176533,0.000000,0.000002,0.000007,554.683375
47430,0.037654,-0.037654,-0.003853,-0.200000,0.000002,-0.588443,-0.197945,-0.176533,0.000000,0.000002,0.000007,554.683375
47730,0.037654,-0.037654,-0.003853,-0.200000,0.000002,-0.588443,-0.197945,-0.176533,0.000000,0.000002,0.000007,554.683375
